----------------------Tasks-----------------------
0 do_clear b21
1 do_on_table b21
2 do_clear b44
3 do_on_table b44
4 do_clear b71
5 do_on_table b71
6 do_clear b85
7 do_on_table b85
8 do_clear b94
9 do_on_table b94
10 do_clear b114
11 do_on_table b114
12 do_clear b140
13 do_on_table b140
14 do_clear b141
15 do_on_table b141
16 do_clear b166
17 do_on_table b166
18 do_clear b259
19 do_on_table b259
20 do_clear b288
21 do_on_table b288
22 do_clear b367
23 do_on_table b367
24 do_clear b374
25 do_on_table b374
26 do_clear b375
27 do_on_table b375
28 do_clear b378
29 do_on_table b378
30 do_clear b391
31 do_on_table b391
32 do_clear b448
33 do_on_table b448
34 do_clear b451
35 do_on_table b451
36 do_clear b466
37 do_on_table b466
38 do_clear b468
39 do_on_table b468
40 do_clear b522
41 do_on_table b522
42 do_clear b526
43 do_on_table b526
44 do_clear b577
45 do_on_table b577
46 do_clear b595
47 do_on_table b595
137 do_put_on b88 b440
138 do_put_on b128 b350
139 do_put_on b131 b539
140 do_put_on b155 b257
141 do_put_on b198 b37
142 do_put_on b205 b528
143 do_put_on b212 b552
144 do_put_on b213 b245
145 do_put_on b220 b339
146 do_put_on b222 b82
147 do_put_on b223 b198
148 do_put_on b228 b278
149 do_put_on b238 b537
150 do_put_on b242 b290
151 do_put_on b262 b128
152 do_put_on b269 b398
153 do_put_on b297 b573
154 do_put_on b300 b435
155 do_put_on b321 b222
156 do_put_on b384 b450
157 do_put_on b405 b223
158 do_put_on b417 b212
159 do_put_on b419 b453
160 do_put_on b433 b213
161 do_put_on b463 b269
162 do_put_on b491 b55
163 do_put_on b502 b463
164 do_put_on b506 b297
165 do_put_on b587 b131
166 do_put_on b1 b242
167 do_put_on b28 b321
168 do_put_on b68 b88
169 do_put_on b119 b491
170 do_put_on b126 b262
171 do_put_on b129 b300
172 do_put_on b132 b155
173 do_put_on b175 b238
174 do_put_on b181 b405
175 do_put_on b189 b205
176 do_put_on b208 b129
177 do_put_on b209 b228
178 do_put_on b216 b220
179 do_put_on b224 b419
180 do_put_on b244 b587
181 do_put_on b263 b175
182 do_put_on b277 b384
183 do_put_on b299 b68
184 do_put_on b305 b244
185 do_put_on b306 b263
186 do_put_on b310 b417
187 do_put_on b312 b502
188 do_put_on b314 b277
189 do_put_on b324 b506
190 do_put_on b347 b306
191 do_put_on b355 b347
192 do_put_on b356 b119
193 do_put_on b364 b324
194 do_put_on b379 b28
195 do_put_on b387 b364
196 do_put_on b428 b305
197 do_put_on b443 b1
198 do_put_on b465 b224
199 do_put_on b469 b312
200 do_put_on b481 b387
201 do_put_on b501 b314
202 do_put_on b504 b189
203 do_put_on b505 b469
204 do_put_on b509 b355
205 do_put_on b516 b181
206 do_put_on b557 b379
207 do_put_on b559 b310
208 do_put_on b582 b216
209 do_put_on b586 b356
210 do_put_on b594 b132
211 do_put_on b597 b465
212 do_put_on b50 b557
213 do_put_on b72 b505
214 do_put_on b80 b208
215 do_put_on b117 b582
216 do_put_on b120 b299
217 do_put_on b146 b209
218 do_put_on b154 b509
219 do_put_on b157 b481
220 do_put_on b190 b559
221 do_put_on b234 b72
222 do_put_on b235 b597
223 do_put_on b248 b501
224 do_put_on b283 b428
225 do_put_on b284 b586
226 do_put_on b295 b80
227 do_put_on b333 b443
228 do_put_on b353 b295
229 do_put_on b492 b154
230 do_put_on b494 b516
231 do_put_on b532 b234
232 do_put_on b535 b146
233 do_put_on b540 b235
234 do_put_on b548 b594
235 do_put_on b3 b120
236 do_put_on b29 b50
237 do_put_on b31 b117
238 do_put_on b52 b157
239 do_put_on b56 b283
240 do_put_on b70 b548
241 do_put_on b96 b540
242 do_put_on b100 b56
243 do_put_on b124 b96
244 do_put_on b125 b248
245 do_put_on b137 b190
246 do_put_on b138 b52
247 do_put_on b152 b535
248 do_put_on b153 b532
249 do_put_on b231 b100
250 do_put_on b267 b3
251 do_put_on b279 b333
252 do_put_on b294 b231
253 do_put_on b337 b353
254 do_put_on b342 b125
255 do_put_on b348 b70
256 do_put_on b359 b492
257 do_put_on b409 b137
258 do_put_on b456 b337
259 do_put_on b459 b279
260 do_put_on b482 b124
261 do_put_on b493 b494
262 do_put_on b514 b31
263 do_put_on b566 b359
264 do_put_on b575 b153
265 do_put_on b6 b267
266 do_put_on b63 b294
267 do_put_on b73 b138
268 do_put_on b91 b342
269 do_put_on b103 b152
270 do_put_on b110 b514
271 do_put_on b147 b459
272 do_put_on b221 b348
273 do_put_on b229 b482
274 do_put_on b236 b221
275 do_put_on b266 b91
276 do_put_on b286 b266
277 do_put_on b298 b103
278 do_put_on b315 b456
279 do_put_on b316 b286
280 do_put_on b396 b575
281 do_put_on b399 b409
282 do_put_on b423 b493
283 do_put_on b431 b566
284 do_put_on b444 b63
285 do_put_on b462 b316
286 do_put_on b519 b431
287 do_put_on b529 b6
288 do_put_on b560 b315
289 do_put_on b568 b73
290 do_put_on b576 b396
291 do_put_on b43 b147
292 do_put_on b46 b43
293 do_put_on b48 b229
294 do_put_on b54 b568
295 do_put_on b69 b298
296 do_put_on b109 b110
297 do_put_on b122 b69
298 do_put_on b130 b423
299 do_put_on b139 b236
300 do_put_on b151 b122
301 do_put_on b184 b462
302 do_put_on b185 b444
303 do_put_on b188 b139
304 do_put_on b206 b48
305 do_put_on b302 b399
306 do_put_on b358 b151
307 do_put_on b418 b54
308 do_put_on b424 b576
309 do_put_on b430 b560
310 do_put_on b498 b529
311 do_put_on b503 b185
312 do_put_on b507 b302
313 do_put_on b511 b109
314 do_put_on b584 b130
315 do_put_on b600 b503
316 do_put_on b10 b46
317 do_put_on b17 b206
318 do_put_on b35 b600
319 do_put_on b61 b418
320 do_put_on b67 b184
321 do_put_on b118 b188
322 do_put_on b150 b507
323 do_put_on b163 b584
324 do_put_on b183 b163
325 do_put_on b230 b35
326 do_put_on b264 b424
327 do_put_on b304 b118
328 do_put_on b323 b430
329 do_put_on b341 b498
330 do_put_on b455 b511
331 do_put_on b489 b341
332 do_put_on b510 b10
333 do_put_on b512 b61
334 do_put_on b536 b67
335 do_put_on b558 b489
336 do_put_on b563 b323
337 do_put_on b589 b17
338 do_put_on b23 b264
339 do_put_on b33 b150
340 do_put_on b41 b304
341 do_put_on b42 b230
342 do_put_on b76 b510
343 do_put_on b83 b563
344 do_put_on b136 b536
345 do_put_on b156 b183
346 do_put_on b225 b23
347 do_put_on b246 b76
348 do_put_on b309 b41
349 do_put_on b336 b225
350 do_put_on b357 b42
351 do_put_on b360 b512
352 do_put_on b432 b455
353 do_put_on b449 b33
354 do_put_on b457 b83
355 do_put_on b472 b309
356 do_put_on b483 b589
357 do_put_on b561 b156
358 do_put_on b12 b472
359 do_put_on b47 b483
360 do_put_on b78 b457
361 do_put_on b95 b136
362 do_put_on b102 b246
363 do_put_on b135 b47
364 do_put_on b160 b78
365 do_put_on b193 b12
366 do_put_on b251 b336
367 do_put_on b256 b160
368 do_put_on b287 b357
369 do_put_on b289 b360
370 do_put_on b307 b102
371 do_put_on b373 b449
372 do_put_on b400 b307
373 do_put_on b402 b135
374 do_put_on b429 b432
375 do_put_on b471 b429
376 do_put_on b478 b289
377 do_put_on b542 b561
378 do_put_on b549 b478
379 do_put_on b554 b373
380 do_put_on b578 b193
381 do_put_on b588 b256
382 do_put_on b5 b588
383 do_put_on b7 b542
384 do_put_on b11 b251
385 do_put_on b14 b400
386 do_put_on b24 b95
387 do_put_on b90 b287
388 do_put_on b142 b578
389 do_put_on b191 b14
390 do_put_on b291 b11
391 do_put_on b293 b402
392 do_put_on b301 b549
393 do_put_on b326 b471
394 do_put_on b344 b554
395 do_put_on b346 b344
396 do_put_on b352 b291
397 do_put_on b366 b301
398 do_put_on b371 b142
399 do_put_on b458 b371
400 do_put_on b490 b24
401 do_put_on b496 b7
402 do_put_on b565 b490
403 do_put_on b572 b5
404 do_put_on b580 b346
405 do_put_on b596 b580
406 do_put_on b8 b572
407 do_put_on b36 b565
408 do_put_on b53 b90
409 do_put_on b58 b8
410 do_put_on b81 b352
411 do_put_on b143 b326
412 do_put_on b174 b191
413 do_put_on b176 b293
414 do_put_on b187 b496
415 do_put_on b268 b458
416 do_put_on b271 b596
417 do_put_on b332 b53
418 do_put_on b338 b81
419 do_put_on b351 b338
420 do_put_on b361 b366
421 do_put_on b362 b58
422 do_put_on b377 b143
423 do_put_on b416 b377
424 do_put_on b422 b351
425 do_put_on b442 b271
426 do_put_on b474 b36
427 do_put_on b487 b268
428 do_put_on b523 b362
429 do_put_on b567 b361
430 do_put_on b2 b187
431 do_put_on b25 b474
432 do_put_on b93 b174
433 do_put_on b159 b176
434 do_put_on b168 b332
435 do_put_on b250 b2
436 do_put_on b327 b487
437 do_put_on b372 b442
438 do_put_on b381 b416
439 do_put_on b394 b422
440 do_put_on b397 b250
441 do_put_on b411 b523
442 do_put_on b436 b567
443 do_put_on b445 b25
444 do_put_on b495 b411
445 do_put_on b525 b168
446 do_put_on b550 b381
447 do_put_on b32 b159
448 do_put_on b86 b93
449 do_put_on b121 b86
450 do_put_on b149 b121
451 do_put_on b164 b327
452 do_put_on b214 b436
453 do_put_on b241 b149
454 do_put_on b276 b372
455 do_put_on b303 b394
456 do_put_on b318 b397
457 do_put_on b335 b550
458 do_put_on b390 b445
459 do_put_on b404 b525
460 do_put_on b407 b335
461 do_put_on b414 b276
462 do_put_on b454 b495
463 do_put_on b473 b214
464 do_put_on b480 b164
465 do_put_on b524 b404
466 do_put_on b527 b32
467 do_put_on b541 b390
468 do_put_on b546 b414
469 do_put_on b590 b541
470 do_put_on b599 b407
471 do_put_on b64 b303
472 do_put_on b79 b318
473 do_put_on b104 b64
474 do_put_on b116 b590
475 do_put_on b165 b480
476 do_put_on b182 b241
477 do_put_on b202 b599
478 do_put_on b203 b473
479 do_put_on b218 b527
480 do_put_on b252 b182
481 do_put_on b275 b252
482 do_put_on b322 b546
483 do_put_on b328 b79
484 do_put_on b334 b524
485 do_put_on b345 b454
486 do_put_on b413 b203
487 do_put_on b477 b275
488 do_put_on b484 b116
489 do_put_on b545 b328
490 do_put_on b592 b413
491 do_put_on b598 b334
492 do_put_on b39 b104
493 do_put_on b49 b322
494 do_put_on b59 b165
495 do_put_on b60 b202
496 do_put_on b92 b218
497 do_put_on b106 b59
498 do_put_on b144 b545
499 do_put_on b173 b592
500 do_put_on b178 b345
501 do_put_on b207 b477
502 do_put_on b319 b598
503 do_put_on b380 b106
504 do_put_on b460 b178
505 do_put_on b467 b144
506 do_put_on b497 b92
507 do_put_on b513 b497
508 do_put_on b533 b39
509 do_put_on b22 b60
510 do_put_on b77 b22
511 do_put_on b99 b77
512 do_put_on b101 b207
513 do_put_on b112 b380
514 do_put_on b162 b173
515 do_put_on b167 b460
516 do_put_on b170 b513
517 do_put_on b199 b170
518 do_put_on b219 b199
519 do_put_on b285 b467
520 do_put_on b343 b285
521 do_put_on b349 b112
522 do_put_on b386 b533
523 do_put_on b392 b101
524 do_put_on b412 b99
525 do_put_on b461 b386
526 do_put_on b508 b167
527 do_put_on b538 b162
528 do_put_on b570 b219
529 do_put_on b196 b343
530 do_put_on b217 b538
531 do_put_on b237 b570
532 do_put_on b254 b349
533 do_put_on b281 b254
534 do_put_on b368 b392
535 do_put_on b388 b461
536 do_put_on b393 b281
537 do_put_on b395 b412
538 do_put_on b479 b393
539 do_put_on b551 b368
540 do_put_on b4 b395
541 do_put_on b13 b237
542 do_put_on b45 b217
543 do_put_on b145 b196
544 do_put_on b179 b145
545 do_put_on b232 b179
546 do_put_on b265 b479
547 do_put_on b272 b388
548 do_put_on b329 b45
549 do_put_on b427 b265
550 do_put_on b434 b551
551 do_put_on b564 b434
552 do_put_on b574 b13
553 do_put_on b583 b4
554 do_put_on b51 b329
555 do_put_on b247 b272
556 do_put_on b317 b583
557 do_put_on b389 b564
558 do_put_on b403 b389
559 do_put_on b420 b427
560 do_put_on b437 b574
561 do_put_on b488 b420
562 do_put_on b515 b437
563 do_put_on b517 b317
564 do_put_on b30 b51
565 do_put_on b40 b247
566 do_put_on b66 b488
567 do_put_on b258 b403
568 do_put_on b311 b30
569 do_put_on b331 b258
570 do_put_on b410 b66
571 do_put_on b426 b40
572 do_put_on b591 b426
573 do_put_on b115 b591
574 do_put_on b200 b115
575 do_put_on b215 b311
576 do_put_on b260 b200
577 do_put_on b280 b331
578 do_put_on b354 b410
579 do_put_on b425 b280
580 do_put_on b499 b215
581 do_put_on b562 b260
582 do_put_on b593 b499
583 do_put_on b27 b425
584 do_put_on b133 b354
585 do_put_on b148 b562
586 do_put_on b158 b593
587 do_put_on b408 b27
588 do_put_on b452 b133
589 do_put_on b553 b148
590 do_put_on b74 b158
591 do_put_on b204 b553
592 do_put_on b227 b74
593 do_put_on b365 b408
594 do_put_on b446 b452
595 do_put_on b485 b446
596 do_put_on b556 b365
597 do_put_on b581 b485
598 do_put_on b26 b581
599 do_put_on b97 b26
600 do_put_on b113 b204
601 do_put_on b296 b97
602 do_put_on b521 b556
603 do_put_on b16 b521
604 do_put_on b20 b113
605 do_put_on b210 b296
606 do_put_on b239 b210
607 do_put_on b270 b20
608 do_put_on b282 b16
609 do_put_on b313 b270
610 do_put_on b376 b239
611 do_put_on b406 b376
612 do_put_on b464 b313
613 do_put_on b34 b282
614 do_put_on b274 b464
615 do_put_on b382 b406
616 do_put_on b383 b382
617 do_put_on b476 b383
618 do_put_on b520 b34
619 do_put_on b57 b476
620 do_put_on b89 b520
621 do_put_on b325 b57
622 do_put_on b555 b89
623 do_put_on b292 b555
624 invisible_goal
---------------------Planning---------------------
Interrupted

RUNWATCH_RESULT TIMEOUT RETVAL 256 TIME_SECS 1803.01 MEMPEAK_KBS 167760
